Tweet ID,Text
1478993565841768449,RT @remdocan: #btc  45672  kırıldı ve minik obo çalıştı. Hedefi 39779 dur fakat burdan kırdığı desteği test etmek için yükselebilir. 456732…
1478993565569011712,"@CometCalls Buy and hold @sonof_btc go go the next @shibainu hi @cz_binance @elonmusk 
🌎: https://t.co/uBGIQuQS3Y 
🦜: https://t.co/HsU5CJFhzI"
1478993563295924225,"https://t.co/elIIVmK18X
#sideincome https://t.co/saiqv2LwBf"
1478993561072717824,RT @MGROnlineLive: ศาสตราจารย์การเงินจากวอร์ตันชี้นักลงทุนรุ่นใหม่เลือก #บิตคอยน์ เป็นสินทรัพย์ป้องกันความเสี่ยงจากเงินเฟ้อแทนที่ #ทองคำ…
1478993558501998595,"BITCOIN PRICE PREDICTION

PRICE : FALL in 10 min.
SELL 0.10 BTC for 43,119.01 USDT apiece on Binance

#Bitcoin #BTC #Binance"
1478993558262611969,"RT @DaCryptoGems: Good morning 💎 fam , market is red , so when in doubt zoom out. #Crypto is here to stay. So whosoever is here for the lon…"
1478993557352599553,"RT @regax89: 📣 Blockareas sistemi 
100$ yatırıma günlük 7$ kazanç sağlar.
Paranızı istediğiniz her an çekebilirsiniz.
Çekim yaptığınızda 1…"
1478993556178354183,"RT @coinfamily101: #WNK $WNK ❤️
@thewinkies1 
the world will talk about wnk very soon...
You still have time to review this project.
It is…"
1478993555431772162,やBTC糞 https://t.co/opKEfA0yHj
1478993554815033352,9 Kasım’dan sonra #BTC … https://t.co/FOi3qna6Ek https://t.co/NAIjgig3Eg
