Tweet ID,Text
1482615803698888705,"RT @Vasel_Inu: $VINU marching *smoothly* to one billion marketcap on day one. All according to plan.

https://t.co/w0XeV9ciuL

https://t.co…"
1482615802708824068,"RT @Callistocat2: $CLO is pumping. Buy the dip.
$BTC #bitcoin $ETH $ETC $SHIB https://t.co/K8WuHG1zWO"
1482615800158572545,"「Fw:」等の件名で、暗号資産(仮想通貨)を要求する #性的脅迫(#sextortion)#詐欺メール。
システムを乗っ取り、エッチな弱みを握ったとしてビットコイン(送金先はBech32形式)を要求していますが、文面はデタラメ、#詐欺 です。
絶対に！要求に応じないで。
BTC address例:
https://t.co/6lo33azw0I https://t.co/pgnM3mYnE4"
1482615798392922114,"RT @cryptosam00: 🔥#Çekiliş🔥
100$ için yapmanız gerekenler

👉Beni takip et

👉Twiti rt+beğen

Salı akşam 22.00’da açıklanacaktı
💰💰

#Giveaway…"
1482615794664194050,"RT @Jamyies: Even though I daily trade buy/sell #bitcoin on #YouTube 

I also DCA and accumulate bitcoin every single day (minimum $1000 of…"
1482615792223264770,"RT @moon2022gaja: 100% sure that #2022moon will delete 5 zero this year!!! 

#2022moon #btc https://t.co/UEQ5NXzQOw"
1482615791371501569,"RT @haxgee1: To win you need to:
✅Follow me
✅Retweet 
✅Tag 1 friend 

1st winner - 1 NFT (200usd)
2nd winner- 100usd 

Good luck! Winners w…"
1482615790977392642,"RT @Crypto_Maximal: We go again! Giving away 10 $strong tokens to 10 followers. 🚀🚀🚀

All you have to do is…

Retweet ✅
and
Follow ✅

Will D…"
1482615790591709197,"👉👉https://t.co/dI4xcsS11R👈👈
👉👉👉仮想通貨ならBybit
／
条件クリアで
最大130ドルのボーナス！
＼
レバレッジ最大100倍
通貨両替で他通貨トレード
ウォレット&amp;取引所から送金
デビッドカード対応
ゼロカット追証なし
#バイナンス #bitbank #BTC #ビットコイン # https://t.co/wBrpxwXaOp"
1482615789836554240,🤝 Follow me on @betfury. Let's hunt for Bitcoins together! Get an exciting experience on #1 I-Gaming platform with #BTC staking payouts!💰.My Username: User986132 #betfurysuccess #bitcoin #staking
Tweet ID,Text
1482615979804876801,"RT @ethereum_yyds: 卷王老张今天又来了💎

感谢CITYVERSE提供的二十个白名单支持！

这个项目discord群组已经有十万人，可进入discord考察。

现拿出20个白名单送给大家！

要求：#LTC #BTC 
点赞转发这条推文并@三个人，
加入不…"
1482615977586089990,Trade: #BTC +3% #OTC. #Bitcoin #Dubai #AbuDhabi #Shanghai #Beijing #CapeTown #Accra #Nairobi #Johannesburg #crypto #trading
1482615974536912897,"As of January 15, 2022 at 08:29AM CET, 1 BTC is 37577.8086 EUR."
1482615972683223040,"RT @CryptoListy: @pionex_com is a leading automated #cryptotrading platform.
Automate your $BTC trades with the platform's brilliant 16+ fr…"
1482615970577674241,"RT @NFT_Holding: 🎉 #NFTGIVEAWAY 🎉

👹 @Yaksa_NFT Mint is Live!

Mint: https://t.co/2c58S5OsRv
Join: https://t.co/lJEVneUkUm

🎁 Win 2 #NFTs =…"
1482615970527006720,"RT @GSiragoCrypto: Show me NFT Projects here below. Which one should I buy? 💎
#NFTCommunity #OpenSeaNFT #NFTGaming #NFTGame #NFTshill #NFT…"
1482615968975052801,"RT @CryptoVizArt: #DCA &amp; #HODLING; STUDY OF A COMBINATION STRATEGY
🧵/1. The #DCA &amp;  #Hodling concepts are 2 of the most recommended strateg…"
1482615966508806145,"RT @CoinSwitchKuber: FTM (Fantom) is #NowOnCoinSwitch!! 🚀

Here's celebrating the launch with a special GIVEAWAY worth ₹ 2,00,000*.

‼️2000…"
1482615965607239681,"RT @ussabraham2: @TheLeoTerrell #MAGACOIN #MAGACOINSAFU
I am about to introduce you a precious GEM 💎 lying through the dust, all you have t…"
1482615964801900545,"RT @Jamez_Sarah: In every shitcoin, there's always a legit project. @BabyDogeCoin is legit and unstoppable 🤑💪🔥 Really making millions of pe…"
Tweet ID,Text
1482616192871374849,"$HIGH Token AIRDROP! 🎉
$btc $bnb $eth $HIGH #HighStreet 

Binance Launchpool Live🚀
Get into Airdrop before FOMO 
&amp; Pump; easy x1000 🤑
 
Join with my Ref Link:
https://t.co/QuhuqpZuR6

Get in friends
@JayJayCuler
@Grandeurlife
@TBJoshuaEspanol"
